Category: All categories

Week,copenhagen bike rental: (Worldwide),amsterdam bike rental: (Worldwide)
2012-05-06,9,12
2012-05-13,23,36
2012-05-20,0,42
2012-05-27,14,24
2012-06-03,18,42
2012-06-10,0,24
2012-06-17,9,24
2012-06-24,9,30
2012-07-01,37,43
2012-07-08,12,33
2012-07-15,12,33
2012-07-22,16,43
2012-07-29,14,52
2012-08-05,15,24
2012-08-12,19,28
2012-08-19,18,58
2012-08-26,9,44
2012-09-02,12,18
2012-09-09,9,14
2012-09-16,17,17
2012-09-23,9,20
2012-09-30,11,20
2012-10-07,0,16
2012-10-14,20,25
2012-10-21,8,19
2012-10-28,0,17
2012-11-04,8,27
2012-11-11,16,13
2012-11-18,8,20
2012-11-25,0,20
2012-12-02,8,13
2012-12-09,8,16
2012-12-16,0,12
2012-12-23,9,24
2012-12-30,0,14
2013-01-06,15,10
2013-01-13,0,15
2013-01-20,7,13
2013-01-27,11,22
2013-02-03,7,15
2013-02-10,0,8
2013-02-17,0,20
2013-02-24,7,11
2013-03-03,10,24
2013-03-10,14,25
2013-03-17,11,19
2013-03-24,10,30
2013-03-31,11,29
2013-04-07,18,46
2013-04-14,22,39
2013-04-21,10,49
2013-04-28,7,57
2013-05-05,11,39
2013-05-12,14,29
2013-05-19,10,26
2013-05-26,24,48
2013-06-02,15,37
2013-06-09,14,33
2013-06-16,12,22
2013-06-23,7,46
2013-06-30,15,45
2013-07-07,30,39
2013-07-14,25,42
2013-07-21,15,45
2013-07-28,12,42
2013-08-04,15,45
2013-08-11,15,44
2013-08-18,29,41
2013-08-25,32,47
2013-09-01,18,38
2013-09-08,24,18
2013-09-15,12,30
2013-09-22,7,46
2013-09-29,21,28
2013-10-06,10,21
2013-10-13,14,19
2013-10-20,7,38
2013-10-27,10,20
2013-11-03,9,22
2013-11-10,7,29
2013-11-17,13,22
2013-11-24,34,27
2013-12-01,7,18
2013-12-08,10,13
2013-12-15,7,16
2013-12-22,11,18
2013-12-29,7,17
2014-01-05,6,15
2014-01-12,6,26
2014-01-19,10,21
2014-01-26,6,15
2014-02-02,7,7
2014-02-09,32,21
2014-02-16,15,21
2014-02-23,12,35
2014-03-02,6,34
2014-03-09,13,40
2014-03-16,6,27
2014-03-23,19,31
2014-03-30,6,42
2014-04-06,21,25
2014-04-13,17,42
2014-04-20,26,39
2014-04-27,30,51
2014-05-04,15,36
2014-05-11,10,44
2014-05-18,29,20
2014-05-25,35,54
2014-06-01,28,52
2014-06-08,17,50
2014-06-15,21,31
2014-06-22,21,31
2014-06-29,29,53
2014-07-06,19,65
2014-07-13,29,40
2014-07-20,22,51
2014-07-27,33,68
2014-08-03,25,58
2014-08-10,28,52
2014-08-17,16,52
2014-08-24,14,51
2014-08-31,20,50
2014-09-07,10,49
2014-09-14,18,51
2014-09-21,10,38
2014-09-28,14,59
2014-10-05,18,47
2014-10-12,17,37
2014-10-19,15,30
2014-10-26,10,31
2014-11-02,13,24
2014-11-09,13,28
2014-11-16,6,19
2014-11-23,9,17
2014-11-30,13,29
2014-12-07,6,17
2014-12-14,7,15
2014-12-21,7,29
2014-12-28,7,31
2015-01-04,6,16
2015-01-11,9,23
2015-01-18,6,14
2015-01-25,6,18
2015-02-01,6,18
2015-02-08,6,28
2015-02-15,9,20
2015-02-22,6,20
2015-03-01,8,30
2015-03-08,18,22
2015-03-15,15,29
2015-03-22,9,32
2015-03-29,43,35
2015-04-05,12,58
2015-04-12,16,46
2015-04-19,16,60
2015-04-26,30,46
2015-05-03,9,24
2015-05-10,16,93
2015-05-17,28,48
2015-05-24,8,54
2015-05-31,16,54
2015-06-07,28,68
2015-06-14,26,36
2015-06-21,22,44
2015-06-28,39,65
2015-07-05,30,82
2015-07-12,21,76
2015-07-19,41,72
2015-07-26,36,84
2015-08-02,20,67
2015-08-09,32,70
2015-08-16,24,57
2015-08-23,14,62
2015-08-30,29,39
2015-09-06,12,29
2015-09-13,15,49
2015-09-20,15,42
2015-09-27,15,32
2015-10-04,14,39
2015-10-11,11,36
2015-10-18,7,31
2015-10-25,13,56
2015-11-01,14,41
2015-11-08,15,20
2015-11-15,17,17
2015-11-22,6,17
2015-11-29,5,20
2015-12-06,13,17
2015-12-13,6,21
2015-12-20,10,29
2015-12-27,14,41
2016-01-03,8,30
2016-01-10,7,31
2016-01-17,8,33
2016-01-24,5,38
2016-01-31,5,31
2016-02-07,8,32
2016-02-14,16,29
2016-02-21,15,26
2016-02-28,17,37
2016-03-06,15,56
2016-03-13,19,51
2016-03-20,28,42
2016-03-27,19,43
2016-04-03,19,60
2016-04-10,22,77
2016-04-17,24,46
2016-04-24,17,44
2016-05-01,26,61
2016-05-08,27,65
2016-05-15,34,65
2016-05-22,24,51
2016-05-29,33,65
2016-06-05,31,60
2016-06-12,33,54
2016-06-19,21,73
2016-06-26,17,59
2016-07-03,31,76
2016-07-10,35,83
2016-07-17,44,87
2016-07-24,39,71
2016-07-31,37,100
2016-08-07,39,83
2016-08-14,32,78
2016-08-21,58,70
2016-08-28,29,84
2016-09-04,38,61
2016-09-11,19,53
2016-09-18,30,47
