,conds,date_hour,dewpti,dewptm,fog,hail,heatindexi,heatindexm,hum,icon,metar,precipi,precipm,pressurei,pressurem,rain,snow,tempi,tempm,thunder,tornado,visi,vism,wdird,wdire,wgusti,wgustm,windchilli,windchillm,wspdi,wspdm
2014-01-01 00:00:00,Scattered Clouds,2014-01-01 00:00:00,31,-0,0,0,-9999,-9999,77,partlycloudy,AAXX 31234 06156 45969 11508 10020 21003 30109 40126 57014 333 55300 20000 81/70,,,29.91,1013,0,0,36,2,0,0,12,19,150,SSE,,,-999,-999,9.2,14.8
2014-01-01 01:00:00,,2014-01-01 01:00:00,31,-0,0,0,-9999,-9999,76,,AAXX 01004 06156 05/69 /1106 10022 21005 30102 40119 57016 6///1 333 55300 20000 6///7,,,29.88,1012,0,0,36,2,0,0,12,19,110,ESE,,,-999,-999,6.9,11.1
2014-01-01 02:00:00,,2014-01-01 02:00:00,31,-0,0,0,-9999,-9999,76,,AAXX 01014 06156 45/66 01306 10021 21005 30096 40113 57017 333 55300 20000,,,29.87,1011,0,0,36,2,0,0,10,16,130,SE,,,-999,-999,6.9,11.1
2014-01-01 03:00:00,Scattered Clouds,2014-01-01 03:00:00,31,-0,0,0,-9999,-9999,76,partlycloudy,AAXX 01024 06156 45967 11508 10024 21004 30091 40108 57018 333 55300 20000 81/74,,,29.85,1011,0,0,36,2,0,0,11,17,150,SSE,,,-999,-999,9.2,14.8
2014-01-01 04:00:00,,2014-01-01 04:00:00,31,-0,0,0,-9999,-9999,77,,AAXX 01034 06156 25/66 01110 10021 21003 30084 40101 57018 333 55300 20000 6///7,,,29.83,1010,0,0,36,2,0,0,10,16,110,ESE,,,-999,-999,11.5,18.5
2014-01-01 05:00:00,,2014-01-01 05:00:00,32,-0,0,0,-9999,-9999,83,,AAXX 01044 06156 45/63 01009 10019 21002 30079 40096 57017 333 55300 20000,,,29.82,1010,0,0,35,2,0,0,8,13,100,East,,,-999,-999,10.4,16.7
2014-01-01 06:00:00,Mostly Cloudy,2014-01-01 06:00:00,32,0,0,0,-9999,-9999,81,mostlycloudy,AAXX 01054 06156 45961 51308 10022 20002 30074 40091 57017 333 55300 20000 85/60,,,29.80,1009,0,0,36,2,0,0,7,11,130,SE,,,-999,-999,9.2,14.8
2014-01-01 07:00:00,Partly Cloudy,2014-01-01 07:00:00,32,0,0,0,-9999,-9999,80,partlycloudy,AAXX 01064 06156 05961 31509 10021 20000 30075 40091 57009 6///2 333 10030 20018 55300 20000 6///7 70000 83/73,,,29.80,1009,0,0,36,2,0,0,7,11,150,SSE,,,-999,-999,10.4,16.7
2014-01-01 08:00:00,Partly Cloudy,2014-01-01 08:00:00,32,-0,0,0,-9999,-9999,83,partlycloudy,AAXX 01074 06156 45960 31609 10019 21001 30075 40092 57004 333 55300 20000 83/63,,,29.81,1009,0,0,35,2,0,0,6,10,160,SSE,,,-999,-999,10.4,16.7
2014-01-01 09:00:00,Scattered Clouds,2014-01-01 09:00:00,31,-0,0,0,-9999,-9999,82,partlycloudy,AAXX 01084 06156 45960 51608 10019 21003 30078 40095 52004 333 55300 20004 81/61 85/64,,,29.81,1010,0,0,35,2,0,0,6,10,160,SSE,,,-999,-999,9.2,14.8
2014-01-01 10:00:00,Mist,2014-01-01 10:00:00,31,-0,0,0,-9999,-9999,77,hazy,AAXX 01094 06156 27959 71608 10020 21003 30079 40096 52004 71010 333 55300 20068 6///7 81/62 87/64,,,29.82,1010,0,0,36,2,0,0,6,9,160,SSE,,,-999,-999,9.2,14.8
2014-01-01 11:00:00,Mist,2014-01-01 11:00:00,32,-0,0,0,-9999,-9999,79,hazy,AAXX 01104 06156 47759 51607 10022 21001 30081 40098 52006 71011 333 55300 20202 81/58 83/62 85/65,,,29.82,1010,0,0,36,2,0,0,6,9,160,SSE,,,-999,-999,8.1,13.0
2014-01-01 12:00:00,Mist,2014-01-01 12:00:00,32,0,0,0,-9999,-9999,81,hazy,AAXX 01114 06156 47459 81708 10025 20002 30077 40094 57001 71011 333 55300 20126 81/14 83/17 85/22 88/36,,,29.81,1009,0,0,36,2,0,0,6,9,170,South,,,-999,-999,9.2,14.8
2014-01-01 13:00:00,Light Drizzle,2014-01-01 13:00:00,34,1,0,0,-9999,-9999,83,rain,AAXX 01124 06156 07458 71708 10028 20009 30077 40094 57002 69901 75154 333 55300 20130 69907 83/10 87/13,,,29.81,1009,1,0,37,3,0,0,5,8,170,South,,,-999,-999,9.2,14.8
2014-01-01 14:00:00,Mist,2014-01-01 14:00:00,35,1,0,0,-9999,-9999,82,hazy,AAXX 01134 06156 47458 81606 10032 20014 30076 40093 57005 71085 333 55300 20122 87/10 88/13,,,29.81,1009,0,0,38,3,0,0,5,8,160,SSE,,,-999,-999,6.9,11.1
2014-01-01 15:00:00,Mist,2014-01-01 15:00:00,35,2,0,0,-9999,-9999,85,hazy,AAXX 01144 06156 47358 81707 10035 20017 30077 40094 54000 71011 333 55300 20047 85/07 88/09,,,29.81,1009,0,0,38,4,0,0,5,8,170,South,,,-999,-999,8.1,13.0
2014-01-01 16:00:00,Mist,2014-01-01 16:00:00,35,2,0,0,-9999,-9999,87,hazy,AAXX 01154 06156 27357 71707 10036 20019 30078 40095 52001 71085 333 55300 20014 69907 85/07 87/19,,,29.81,1010,0,0,38,4,0,0,4,7,170,South,,,-999,-999,8.1,13.0
2014-01-01 17:00:00,Mist,2014-01-01 17:00:00,36,2,0,0,-9999,-9999,88,hazy,AAXX 01164 06156 47256 81608 10036 20021 30079 40095 52003 71011 333 55300 20000 81/05 88/23,,,29.81,1010,0,0,38,4,0,0,4,6,160,SSE,,,-999,-999,9.2,14.8
2014-01-01 18:00:00,Mist,2014-01-01 18:00:00,36,2,0,0,-9999,-9999,90,hazy,AAXX 01174 06156 47250 81607 10036 20023 30076 40093 57001 71011 333 55300 20000 85/05 88/21,,,29.81,1009,0,0,38,4,0,0,3,5,160,SSE,,,-999,-999,8.1,13.0
2014-01-01 19:00:00,Mist,2014-01-01 19:00:00,36,2,0,0,-9999,-9999,90,hazy,AAXX 01184 06156 07250 81710 10036 20023 30073 40090 57005 69902 71085 333 10037 20018 55300 20000 6///7 83/04 88/06,,,29.80,1009,0,0,38,4,0,0,3,5,170,South,,,-999,-999,11.5,18.5
2014-01-01 20:00:00,Mist,2014-01-01 20:00:00,36,2,0,0,-9999,-9999,84,hazy,AAXX 01194 06156 47257 81610 10037 20022 30069 40085 57010 71011 333 55300 20000 85/06 88/09,,,29.78,1008,0,0,39,4,0,0,4,7,160,SSE,,,-999,-999,11.5,18.5
2014-01-01 22:00:00,Mist,2014-01-01 22:00:00,35,1,0,0,-9999,-9999,87,hazy,AAXX 01214 06156 27357 11609 10029 20014 30062 40079 57011 71011 333 55300 20000 6///7 81/09,,,29.77,1008,0,0,37,3,0,0,4,7,160,SSE,,,-999,-999,10.4,16.7
2014-01-01 23:00:00,Mist,2014-01-01 23:00:00,33,1,0,0,-9999,-9999,87,hazy,AAXX 01224 06156 47/56 01409 10022 20008 30056 40073 57013 71011 333 55300 20000,,,29.75,1007,0,0,36,2,0,0,4,6,140,SE,,,-999,-999,10.4,16.7
2014-01-02 00:00:00,Mist,2014-01-02 00:00:00,33,1,0,0,-9999,-9999,90,hazy,AAXX 01234 06156 47/56 01608 10019 20006 30051 40067 57016 71011 333 55300 20000,,,29.73,1007,0,0,35,2,0,0,4,6,160,SSE,,,-999,-999,9.2,14.8
2014-01-02 01:00:00,Mist,2014-01-02 01:00:00,33,1,0,0,-9999,-9999,87,hazy,AAXX 02004 06156 07956 31009 10021 20008 30039 40056 57023 6///1 71011 333 55300 20000 6///7 83/70,,,29.70,1006,0,0,36,2,0,0,4,6,100,East,,,-999,-999,10.4,16.7
2014-01-02 02:00:00,Mist,2014-01-02 02:00:00,33,1,0,0,-9999,-9999,87,hazy,AAXX 02014 06156 47/57 01209 10022 20008 30032 40049 57024 71011 333 55300 20000,,,29.68,1005,0,0,36,2,0,0,4,7,120,ESE,,,-999,-999,10.4,16.7
2014-01-02 03:00:00,Mist,2014-01-02 03:00:00,34,1,0,0,-9999,-9999,87,hazy,AAXX 02024 06156 47957 11412 10023 20009 30028 40045 57023 71011 333 55300 20000 81/66,,,29.67,1004,0,0,36,2,0,0,4,7,140,SE,,,-999,-999,13.8,22.2
2014-01-02 04:00:00,Mist,2014-01-02 04:00:00,34,1,0,0,-9999,-9999,84,hazy,AAXX 02034 06156 27958 11515 10026 20010 30015 40032 57024 71011 333 55300 20000 6///7 81/65,,,29.63,1003,0,0,37,3,0,0,5,8,150,SSE,,,-999,-999,17.3,27.8
2014-01-02 05:00:00,Mist,2014-01-02 05:00:00,34,1,0,0,-9999,-9999,85,hazy,AAXX 02044 06156 47959 51213 10029 20012 30008 40024 57024 71011 333 55300 20000 81/64 85/66,,,29.60,1002,0,0,37,3,0,0,6,9,120,ESE,,,-999,-999,15.0,24.1
2014-01-02 06:00:00,Clear,2014-01-02 06:00:00,35,2,0,0,-9999,-9999,83,clear,AAXX 02054 06156 47660 71413 10033 20015 30003 40019 57025 70010 333 55300 20000 85/46 87/57,,,29.59,1002,0,0,38,3,0,0,6,10,140,SE,,,-999,-999,15.0,24.1
2014-01-02 07:00:00,Drizzle,2014-01-02 07:00:00,35,2,0,0,-9999,-9999,81,rain,AAXX 02064 06156 07660 71313 10037 20018 39999 40016 57016 69902 72285 333 10037 20018 55300 20000 69907 70000 85/46 87/57,,,29.58,1002,1,0,39,4,0,0,6,10,130,SE,,,-999,-999,15.0,24.1
2014-01-02 08:00:00,Overcast,2014-01-02 08:00:00,36,2,0,0,-9999,-9999,83,cloudy,AAXX 02074 06156 45661 81511 10040 20020 39999 40015 57009 333 55300 20000 87/45 88/59,,,29.58,1002,0,0,39,4,0,0,7,11,150,SSE,,,-999,-999,12.7,20.4
2014-01-02 09:00:00,Partly Cloudy,2014-01-02 09:00:00,36,2,0,0,-9999,-9999,79,partlycloudy,AAXX 02084 06156 45663 51511 10042 20021 39997 40014 57006 333 55300 20004 83/48 85/64,,,29.57,1001,0,0,40,4,0,0,8,13,150,SSE,,,-999,-999,12.7,20.4
2014-01-02 10:00:00,Drizzle,2014-01-02 10:00:00,36,2,0,0,-9999,-9999,79,rain,AAXX 02094 06156 27561 71513 10042 20021 39996 40012 57003 72285 333 55300 20043 69907 81/29 85/37 87/47,,,29.57,1001,1,0,40,4,0,0,7,11,150,SSE,,,-999,-999,15.0,24.1
2014-01-02 11:00:00,Drizzle,2014-01-02 11:00:00,36,2,0,0,-9999,-9999,82,rain,AAXX 02104 06156 47660 71613 10042 20024 39993 40010 57006 75285 333 55300 20083 83/33 87/50,,,29.56,1001,1,0,40,4,0,0,6,10,160,SSE,,,-999,-999,15.0,24.1
2014-01-02 12:00:00,Light Rain,2014-01-02 12:00:00,37,3,0,0,-9999,-9999,84,rain,AAXX 02114 06156 47659 71611 10043 20027 39993 40009 57004 76165 333 55300 20112 81/37 87/47,,,29.56,1001,1,0,40,4,0,0,6,9,160,SSE,,,-999,-999,12.7,20.4
2014-01-02 13:00:00,Drizzle,2014-01-02 13:00:00,38,3,0,0,-9999,-9999,88,rain,AAXX 02124 06156 07458 71612 10046 20031 39989 40006 57007 69921 75286 333 55300 20104 69927 81/10 85/14 87/17,,,29.55,1001,1,0,40,5,0,0,5,8,160,SSE,,,-999,-999,13.8,22.2
2014-01-02 14:00:00,Light Rain Showers,2014-01-02 14:00:00,38,3,0,0,-9999,-9999,88,rain,AAXX 02134 06156 47359 71611 10047 20032 39986 40002 57007 78186 333 55300 20065 81/09 85/11 87/15,,,29.54,1000,1,0,40,5,0,0,6,9,160,SSE,,,-999,-999,12.7,20.4
2014-01-02 15:00:00,Light Rain,2014-01-02 15:00:00,38,3,0,0,-9999,-9999,89,rain,AAXX 02144 06156 47358 81610 10046 20033 39987 40003 57006 76186 333 55300 20032 81/08 87/11 88/14,,,29.54,1000,1,0,40,5,0,0,5,8,160,SSE,,,-999,-999,11.5,18.5
